job_id,job_name,Logical_Thinking,Communication,Creativity,Meticulousness,Stress_Tolerance
J001,サーバーサイドエンジニア,5,2,3,4,3
J002,データサイエンティスト,5,3,4,5,4
J003,Webマーケター,4,4,5,3,4
J004,新規開拓営業,3,5,2,1,5
J005,ルート営業（法人）,4,5,2,3,3
J006,経理・財務,4,3,1,5,4
J007,人事（採用担当）,3,4,3,4,5
J008,法務・コンプライアンス,5,3,1,5,5
J009,グラフィックデザイナー,2,3,5,4,3
J010,Webディレクター,3,5,4,3,4
J011,コンサルタント,5,5,4,4,5
J012,医師（外科）,4,4,1,5,5
J013,研究職（基礎科学）,5,2,4,4,3
J014,建築士,4,4,5,5,4
J015,一般事務,2,3,1,5,2
J016,物流管理・倉庫作業,3,2,1,4,3
J017,ホテルスタッフ,2,5,3,4,4
J018,編集者・ライター,4,3,5,4,3
J019,教師・教育者,3,5,3,4,5
J020,カスタマーサクセス,3,5,3,4,4
J021,プロジェクトマネージャー (PM),4,5,3,4,5
J022,インフラエンジニア,5,3,2,5,4
J023,品質保証（QA）エンジニア,4,4,2,5,3
J024,弁護士,5,5,3,4,5
J025,公認会計士,5,3,1,5,4
J026,経営企画,5,4,4,4,5
J027,広報・PR,3,5,4,3,4
J028,秘書,2,4,2,5,3
J029,ファイナンシャルプランナー,4,5,3,4,4
J030,薬剤師,4,3,1,5,3
J031,介護士,2,5,2,3,5
J032,料理人,3,2,4,4,4
J033,ファッションデザイナー,2,3,5,3,4
J034,カメラマン・フォトグラファー,3,4,5,3,3
J035,図書館司書,3,3,1,5,2
J036,パイロット,5,4,1,5,5
J037,警察官・警備員,3,4,1,4,5
J038,機械オペレーター,3,1,1,5,2
J039,不動産仲介（宅建士）,4,5,2,4,4
J040,環境コンサルタント,5,4,4,4,4
